"Дата","ФО","Регион","Регион название","Регион геоточка","Регион население","Заражений","Выздоровлений","Смертей","Смертей за день","Заражений за день","Выздоровлений за день","Заражений на 100К населения","Летальность, %"
13.03.2020,Сибирский федеральный округ,Омская обл.,Омская область,"",1960081,0,0,0,0,0,0,0,""
13.03.2020,Сибирский федеральный округ,Томская обл.,Томская область,"",1078280,0,0,0,0,0,0,0,""
13.03.2020,Сибирский федеральный округ,Тыва,Республика Тыва,"",321722,0,0,0,0,0,0,0,""
13.03.2020,Сибирский федеральный округ,Хакасия,Республика Хакасия,"",537513,0,0,0,0,0,0,0,""
13.03.2020,Уральский федеральный округ,Курганская обл.,Курганская область,"",845537,0,0,0,0,0,0,0,""
13.03.2020,Уральский федеральный округ,Свердловская обл.,Свердловская область,"",4325256,0,0,0,0,0,0,0,""
13.03.2020,Уральский федеральный округ,Тюменская обл.,Тюменская область,"",1498779,0,0,0,0,0,0,0,""
13.03.2020,Уральский федеральный округ,ХМАО – Югра,Ханты-Мансийский автономный округ - Югра,"",1655074,0,0,0,0,0,0,0,""
13.03.2020,Уральский федеральный округ,Челябинская обл.,Челябинская область,"",3493036,0,0,0,0,0,0,0,""
13.03.2020,Уральский федеральный округ,Ямало-Ненецкий АО,Ямало-Ненецкий автономный округ,"",538547,0,0,0,0,0,0,0,""
13.03.2020,Центральный федеральный округ,Белгородская обл.,Белгородская область,"",1549876,1,0,0,0,0,0,0.0645212907355169,0
13.03.2020,Центральный федеральный округ,Брянская обл.,Брянская область,"",1210982,0,0,0,0,0,0,0,""
13.03.2020,Центральный федеральный округ,Владимирская обл.,Владимирская область,"",1378337,0,0,0,0,0,0,0,""
13.03.2020,Центральный федеральный округ,Воронежская обл.,Воронежская область,"",2333768,0,0,0,0,0,0,0,""
13.03.2020,Центральный федеральный округ,Ивановская обл.,Ивановская область,"",1014646,0,0,0,0,0,0,0,""
13.03.2020,Центральный федеральный округ,Калужская обл.,Калужская область,"",1012156,0,0,0,0,0,0,0,""
13.03.2020,Центральный федеральный округ,Костромская обл.,Костромская область,"",643324,0,0,0,0,0,0,0,""
13.03.2020,Центральный федеральный округ,Курская обл.,Курская область,"",1115237,0,0,0,0,0,0,0,""
13.03.2020,Центральный федеральный округ,Липецкая обл.,Липецкая область,"",1150201,3,0,0,0,0,0,0.26082397772215465,0
